faculty,phase,term,gender,race,grade,count
7,3a,Spring 2018,men,nonURM,B,5
7,3a,Spring 2018,men,nonURM,C,5
7,3a,Spring 2018,men,nonURM,D,3
7,3a,Spring 2018,men,nonURM,F,10
7,3a,Spring 2018,men,nonURM,W,4
7,3a,Spring 2018,women,nonURM,B,2
7,3a,Spring 2018,women,nonURM,C,1
7,3a,Spring 2018,women,nonURM,W,1
8,1b,Fall 2018,men,amerind,B,1
8,1b,Fall 2018,men,black,A,1
8,1b,Fall 2018,men,black,W,2
8,1b,Fall 2018,men,hispanic,B,2
8,1b,Fall 2018,men,hispanic,W,1
8,1b,Fall 2018,men,nonURM,A,5
8,1b,Fall 2018,men,nonURM,B,12
8,1b,Fall 2018,men,nonURM,C,6
8,1b,Fall 2018,men,nonURM,F,3
8,1b,Fall 2018,men,nonURM,W,6
8,1b,Fall 2018,women,hispanic,W,1
8,1b,Fall 2018,women,nonURM,A,1
8,1b,Fall 2018,women,nonURM,B,1
8,1b,Fall 2018,women,nonURM,C,1
8,1b,Fall 2018,women,nonURM,F,3
8,1b,Fall 2018,women,nonURM,W,2
8,2a,Fall 2019,men,black,B,1
8,2a,Fall 2019,men,black,F,1
8,2a,Fall 2019,men,hispanic,C,2
8,2a,Fall 2019,men,natpac,W,1
8,2a,Fall 2019,men,nonURM,A,9
8,2a,Fall 2019,men,nonURM,B,13
8,2a,Fall 2019,men,nonURM,C,4
8,2a,Fall 2019,men,nonURM,D,2
8,2a,Fall 2019,men,nonURM,F,4
8,2a,Fall 2019,men,nonURM,W,3
8,2a,Fall 2019,women,black,F,1
8,2a,Fall 2019,women,hispanic,A,1
8,2a,Fall 2019,women,hispanic,W,1
8,2a,Fall 2019,women,nonURM,A,3
8,2a,Fall 2019,women,nonURM,B,3
8,2a,Fall 2019,women,nonURM,C,2
8,2a,Fall 2019,women,nonURM,D,2
8,2a,Fall 2019,women,nonURM,F,0
8,2a,Fall 2019,women,nonURM,W,3
8,3a,Fall 2021,men,black,B,1
8,3a,Fall 2021,men,black,W,1
8,3a,Fall 2021,men,hispanic,A,1
8,3a,Fall 2021,men,hispanic,B,1
8,3a,Fall 2021,men,hispanic,W,3
8,3a,Fall 2021,men,nonURM,A,10
8,3a,Fall 2021,men,nonURM,B,12
8,3a,Fall 2021,men,nonURM,C,5
8,3a,Fall 2021,men,nonURM,F,4
8,3a,Fall 2021,men,nonURM,W,2
8,3a,Fall 2021,women,black,A,1
8,3a,Fall 2021,women,black,W,1
8,3a,Fall 2021,women,nonURM,A,1
